リポジトリ名,GitHub URL,名前A,ドメイン1,ドメイン2,ドメイン3,名前B,ドメイン1,ドメイン2,ドメイン3,Description,説明文
j256/simplemagic,https://github.com/j256/simplemagic,k-nishiura,Data,,,,,,,Simple file magic number and content-type library which provides mime-type determination from files and byte arrays,ファイルおよびバイト配列からのMIMEタイプの決定を提供する単純なファイルマジックナンバーおよびコンテンツタイプライブラリ
JabRef/jabref,https://github.com/JabRef/jabref,k-nishiura,Data,Database,,,,,,Graphical Java application for managing BibTeX and biblatex (.bib) databases,BibTeXおよびbiblatex（.bib）データベースを管理するためのグラフィカルJavaアプリケーション
jaeksoft/opensearchserver,https://github.com/jaeksoft/opensearchserver,k-nishiura,Data,,,,,,,Open-source Enterprise Grade Search Engine Software,オープンソースのエンタープライズグレード検索エンジンソフトウェア
java-json-tools/json-patch,https://github.com/java-json-tools/json-patch,k-nishiura,Data,,,,,,,An RFC 6902 (JSON Patch) and reverse - plus RFC 7386 (JSON Merge Patch) - implementation in Java using Jackson (2.2.x),RFC 6902（JSONパッチ）およびその逆-RFC 7386（JSONマージパッチ）-Jackson（2.2.x）を使用したJavaでの実装
java-json-tools/json-schema-validator,https://github.com/java-json-tools/json-schema-validator,k-nishiura,Data,,,,,,,A JSON Schema validation implementation in pure Java - which aims for correctness and performance - in that order,純粋なJavaでのJSONスキーマ検証の実装-正確さとパフォーマンスを目指して-この順序で
javaswift/joss,https://github.com/javaswift/joss,k-nishiura,Data,,,,,,,Java library for OpenStack Storage - aka Swift,OpenStackストレージのJavaライブラリ-別名Swift
javers/javers,https://github.com/javers/javers,k-nishiura,Data,,,,,,,JaVers - object auditing and diff framework for Java,JaVers-Java用のオブジェクト監査および差分フレームワーク
jboss-modules/jboss-modules,https://github.com/jboss-modules/jboss-modules,k-nishiura,Data,,,,,,,A Modular Classloading System,モジュラークラスローディングシステム
jflex-de/jflex,https://github.com/jflex-de/jflex,k-nishiura,Data,,,,,,,The fast scanner generator for Java with full Unicode support,Unicodeを完全にサポートするJava用の高速スキャナージェネレーター
jhunters/jprotobuf,https://github.com/jhunters/jprotobuf,k-nishiura,Data,Programing,,,,,,A very useful utility library for java programmer using google protobuf,Google Protobufを使用するJavaプログラマーにとって非常に便利なユーティリティライブラリ
jhy/jsoup,https://github.com/jhy/jsoup,k-nishiura,Data,Document,,,,,,jsoup: Java HTML Parser - with best of DOM - CSS - and jquery,jsoup：Java HTMLパーサー-最高のDOM-CSS-およびjquery
jingwei/krati,https://github.com/jingwei/krati,k-nishiura,Data,,,,,,,A hash-based high-performance data store,ハッシュベースの高性能データストア
joelittlejohn/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo,k-nishiura,Data,,,,,,,Generate Java types from JSON or JSON Schema and annotates those types for data-binding with Jackson - Gson - etc,JSONまたはJSONスキーマからJava型を生成し、Jackson-Gson-などでデータバインディングするためにそれらの型に注釈を付けます
jordw/heftydb,https://github.com/jordw/heftydb,k-nishiura,Data,,,,,,,High performance persistent LSM key-value store library for the JVM.,JVM用の高性能で永続的なLSMキー値ストアライブラリ。
json-path/JsonPath,https://github.com/json-path/JsonPath,k-nishiura,Data,,,,,,,Java JsonPath implementation,Java JsonPathの実装
jtablesaw/tablesaw,https://github.com/jtablesaw/tablesaw,k-nishiura,Data,Multimedia,,,,,,Java dataframe and visualization library,Javaデータフレームと視覚化ライブラリ
julman99/gson-fire,https://github.com/julman99/gson-fire,k-nishiura,Data,,,,,,,A java library that adds some very useful features to Gson - like Date serializing to unix timestamp or RFC3339 - method (getters) serialization - pre/post processors and many others. Check out the documentation to learn how to use it!,UNIXタイムスタンプへの日付のシリアル化やRFC3339などの非常に便利な機能をGsonに追加するJavaライブラリ-メソッド（ゲッター）のシリアル化-プリ/ポストプロセッサなど。使用方法については、ドキュメントをご覧ください！
JumpMind/symmetric-ds,https://github.com/JumpMind/symmetric-ds,k-nishiura,Data,,,,,,,SymmetricDS is a database and file synchronization solution that is platform-independent - web-enabled - and database agnostic.  SymmetricDS was built to make data replication across two to tens of thousands of databases and file systems fast - easy and resilient.  We specialize in near real time - bi-directional data replication across large node networks over the WAN or LAN.,SymmetricDSは、プラットフォームに依存しない（Web対応）データベースに依存しないデータベースおよびファイル同期ソリューションです。 SymmetricDSは、2〜数万のデータベースとファイルシステム間でのデータレプリケーションを高速-簡単で回復力のあるものにするために構築されました。 WANまたはLANを介した大規模なノードネットワークでの双方向データレプリケーションをほぼリアルタイムに特化しています。
kennycason/kumo,https://github.com/kennycason/kumo,k-nishiura,Data,Document,,,,,,Kumo - Java Word Cloud,くも-Java Word Cloud
kevinsawicki/gitective,https://github.com/kevinsawicki/gitective,k-nishiura,Data,Development,,,,,,Find the Git commits you're looking for,探しているGitコミットを見つける
knightliao/CanalX,https://github.com/knightliao/CanalX,k-nishiura,Data,Financial,,,,,,基于 `Canal` 的数据感知服务框架. 可用于围绕数据库`Mysql`进行数据相关的各式业务开发 - 并建立各式各样的服务平台.,「Canal」のデータに基づいた服装サービス。データ関連の「Mysql」を使用して、データに関連するさまざまなサービスを展開し、さまざまなサービスプラットフォームを構築できます。
larsga/Duke,https://github.com/larsga/Duke,k-nishiura,Data,,,,,,,Duke is a fast and flexible deduplication engine written in Java,DukeはJavaで書かれた高速で柔軟な重複排除エンジンです
linkedin/ambry,https://github.com/linkedin/ambry,k-nishiura,Data,,,,,,,Distributed object store,分散オブジェクトストア
linkedin/cruise-control,https://github.com/linkedin/cruise-control,k-nishiura,Data,Distribution,Operation,,,,,Cruise-control is the first of its kind to fully automate the dynamic workload rebalance and self-healing of a kafka cluster. It provides great value to Kafka users by simplifying the operation of Kafka clusters.,クルーズコントロールは、カフカクラスターの動的なワークロードのリバランスと自己修復を完全に自動化するこの種の最初の製品です。 Kafkaクラスターの操作を簡素化することにより、Kafkaユーザーに大きな価値を提供します。
linkedin/Cubert,https://github.com/linkedin/Cubert,k-nishiura,Data,,,,,,,Fast and efficient batch computation engine for complex analysis and reporting of massive datasets on Hadoop,Hadoop上の大規模なデータセットの複雑な分析とレポートのための高速で効率的なバッチ計算エンジン
linkedin/databus,https://github.com/linkedin/databus,k-nishiura,Data,,,,,,,Source-agnostic distributed change data capture system,ソースに依存しない分散変更データキャプチャシステム
linkedin/WhereHows,https://github.com/linkedin/WhereHows,k-nishiura,Data,,,,,,,A Generalized Metadata Search & Discovery Tool,一般化されたメタデータ検索および発見ツール
lintool/Cloud9,https://github.com/lintool/Cloud9,k-nishiura,Data,Distribution,,,,,,Cloud9 is a Hadoop toolkit for working with big data,Cloud9はビッグデータを扱うためのHadoopツールキットです
logstash/logstash-logback-encoder,https://github.com/logstash/logstash-logback-encoder,k-nishiura,Data,,,,,,,Logback JSON encoder and appenders,Logback JSONエンコーダーとアペンダー
lucidworks/spark-solr,https://github.com/lucidworks/spark-solr,k-nishiura,Data,,,,,,,Tools for reading data from Solr as a Spark RDD and indexing objects from Spark into Solr using SolrJ.,SolrからデータをSpark RDDとして読み取り、SolrJを使用してSparkからSolrにオブジェクトのインデックスを作成するためのツール。
lukas-krecan/future-converter,https://github.com/lukas-krecan/future-converter,k-nishiura,Data,,,,,,,Converts between various future types,将来のさまざまなタイプ間で変換します
magro/kryo-serializers,https://github.com/magro/kryo-serializers,k-nishiura,Data,,,,,,,More kryo serializers,その他のkryoシリアライザー
makersoft/mybatis-shards,https://github.com/makersoft/mybatis-shards,k-nishiura,Data,,,,,,,基于MyBatis的数据库切分框架，可实现数据的水平切分和垂直切分。,MyBatisのデータに基づいて、フレームを分割し、データの水平分割と垂直分割を実現できます。
mangstadt/ez-vcard,https://github.com/mangstadt/ez-vcard,k-nishiura,Data,,,,,,,A vCard parser library for Java,Java用のvCardパーサーライブラリ
mapstruct/mapstruct,https://github.com/mapstruct/mapstruct,k-nishiura,Data,,,,,,,An annotation processor for generating type-safe bean mappers,タイプセーフなBeanマッパーを生成するための注釈プロセッサ
mapstruct/mapstruct-examples,https://github.com/mapstruct/mapstruct-examples,k-nishiura,Data,,,,,,,Examples for using MapStruct,MapStructの使用例
mayconbordin/streaminer,https://github.com/mayconbordin/streaminer,k-nishiura,Data,,,,,,,A collection of algorithms for mining data streams,データストリームをマイニングするためのアルゴリズムのコレクション
mesos/elasticsearch,https://github.com/mesos/elasticsearch,k-nishiura,Data,,,,,,,Elasticsearch on Mesos,MesosのElasticsearch
mfornos/humanize,https://github.com/mfornos/humanize,k-nishiura,Data,,,,,,,Java facility for adding a “human touch” to data.,「ヒューマンタッチ」をデータに追加するためのJava機能。
msgpack/msgpack-java,https://github.com/msgpack/msgpack-java,k-nishiura,Data,,,,,,,MessagePack serializer implementation for Java / msgpack.org[Java],Java用のMessagePackシリアライザーの実装/ msgpack.org [Java]
mucommander/mucommander,https://github.com/mucommander/mucommander,k-nishiura,Data,OS,,,,,,A lightweight - cross-platform file manager with a dual-pane interface,軽量-デュアルペインインターフェイスを備えたクロスプラットフォームのファイルマネージャー
mwanji/toml4j,https://github.com/mwanji/toml4j,k-nishiura,Data,,,,,,,A Java TOML parser,Java TOMLパーサー
mybatis/mybatis-dynamic-sql,https://github.com/mybatis/mybatis-dynamic-sql,k-nishiura,Data,,,,,,,SQL Generator for MyBatis or Spring JDBC Templates,MyBatisまたはSpring JDBCテンプレート用のSQLジェネレータ
mybatis/spring-boot-starter,https://github.com/mybatis/spring-boot-starter,k-nishiura,Data,,,,,,,MyBatis integration with Spring Boot,MyBatisとSpring Bootの統合
NationalSecurityAgency/datawave,https://github.com/NationalSecurityAgency/datawave,k-nishiura,Data,,,,,,,DataWave is an ingest/query framework that leverages Apache Accumulo to provide fast - secure data access.,DataWaveは、Apache Accumuloを活用して高速で安全なデータアクセスを提供する取り込み/クエリフレームワークです。
neo4j/neo4j-ogm,https://github.com/neo4j/neo4j-ogm,k-nishiura,Data,,,,,,,Java Object-Graph Mapping Library for Neo4j,Neo4j用のJavaオブジェクトグラフマッピングライブラリ
